	gene_matrix_background
2082	102465540
2083	102465541
2084	102465542
2085	102465543
2086	102465544
2087	102465545
2088	102465546
2089	102465547
2090	102465548
2091	102465549
2092	102465550
2093	102465551
2094	102465552
2095	102465553
2096	102465554
2097	102465555
2098	102465556
2099	102465557
2100	102465558
2101	102465559
2102	102465560
2103	102465561
2104	102465562
2105	102465563
2106	102465564
2107	102465565
2108	102465566
2109	102465567
2110	102465568
2111	102465569
2112	102465570
2113	102465571
2114	102465572
2115	102465573
2116	102465574
2117	102465575
2118	102465576
2119	102465577
2120	102465578
2121	102465579
2122	102465580
2123	102465581
2124	102465582
2125	102465583
2126	102465584
2127	102465585
2128	102465586
2129	102465587
2130	102465588
2131	102465589
2132	102465590
2133	102465591
2134	102465592
2135	102465593
2136	102465594
2137	102465595
2138	102465596
2139	102465597
2140	102465598
2141	102465599
2142	102465600
2143	102465601
2144	102465602
2145	102465603
2146	102465604
2147	102465605
2148	102465606
2149	102465607
2150	102465608
2151	102465609
2152	102465610
2153	102465611
2154	102465612
2155	102465613
2156	102465614
2157	102465615
2158	102465616
2159	102465617
