gene_id,CRV01,CRV02,CRV03,CRV04,CRV05,CRV06,CRV07,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,SAL01,SAL02,SAL03,SAL04,SAL05,SAL06,SAL07,SAL08
Rbm25|Rbm25,6574,7236,6953,6200,7471,5830,6145,4967,3820,7308,4727,6768,9862,7461,6718,5464,3401,4218,3699,5084,4947,8564,5229
Psen1|Psen1,10896,16096,12133,13615,15695,14771,14564,14330,9640,20223,12412,20383,12100,13789,14661,14882,10969,12541,10809,15912,13866,13435,12313
Heatr4|Heatr4,0,36,0,29,4,22,0,32,37,22,16,0,0,76,0,51,18,14,20,46,20,29,15
2410016O06Rik|2410016O06Rik,434,189,366,1046,1314,1263,443,858,326,451,89,293,13,987,450,1001,634,955,568,158,507,666,706
Acot1|Acot1,434,298,367,210,566,480,499,312,211,229,359,132,769,0,1817,268,202,291,178,407,167,316,620
Acot5|Acot5,233,42,0,103,0,84,0,20,0,0,0,0,0,0,0,114,43,41,10,0,0,0,84
Acot2|Acot2,1176,929,917,1059,1115,1414,1278,727,678,1001,580,750,762,919,1400,1406,831,897,950,784,688,1144,1125
Acot6|Acot6,82,176,129,79,53,141,78,58,67,69,0,0,236,0,176,91,84,86,75,47,157,0,68
Dnal1|Dnal1,235,223,61,267,16,58,289,149,80,376,106,265,742,134,119,210,97,73,123,126,28,143,144
LOC108168019|LOC108168019,0,0,0,12,20,33,7,11,19,19,0,6,49,26,11,17,11,19,23,36,34,53,14
Gm31513|Gm31513,0,15,0,20,0,12,0,3,0,0,0,27,0,0,0,0,8,29,9,38,0,0,0
LOC108167961|LOC108167961,0,9,0,7,0,0,0,0,0,0,0,0,0,0,17,0,0,0,12,0,0,0,15
Elmsan1|Elmsan1,208,528,290,512,399,500,464,303,279,498,209,230,137,212,434,330,282,324,305,387,651,503,342
Gm40476|Gm40476,11,3,17,14,19,20,13,19,25,11,0,7,76,31,5,12,23,24,19,50,12,70,16
Gm40475|Gm40475,131,184,172,60,189,134,6,177,162,166,35,0,276,0,110,115,68,124,84,142,51,0,52
Gm19327|Gm19327,1628,775,824,1003,1427,810,1159,801,992,1029,644,987,854,1260,561,1053,611,1015,710,1458,843,1588,949
Zfp410|Zfp410,2706,3552,2956,2628,5418,3230,4460,3427,1785,3192,2265,3487,2914,3276,3083,2877,1784,2421,1811,3033,2944,3258,2265
Ptgr2|Ptgr2,6895,11438,7925,9637,9902,10468,10724,8515,5961,11519,5946,7135,7540,11130,11445,8806,6078,6822,5792,6350,7627,10830,7415
Papln|Papln,0,0,0,5,0,0,15,0,0,11,0,0,0,0,20,0,4,18,7,8,0,0,0
Numb|Numb,26002,23988,22525,23233,23780,23644,26409,22739,15679,31803,17742,9508,22500,31262,21010,24316,16118,21166,17977,20555,26720,21511,22235
LOC108168018|LOC108168018,247,229,171,153,288,163,232,114,168,177,138,248,166,288,264,187,148,224,180,330,160,187,206
Abcd4|Abcd4,276,682,592,486,409,779,669,205,338,682,571,332,0,1231,315,376,389,602,507,567,786,192,267
Syndig1l|Syndig1l,194,93,118,130,228,202,79,54,143,171,114,46,0,127,114,74,67,101,51,166,87,205,145
Lin52|Lin52,3492,4669,2755,2473,4333,2901,2886,2608,1891,3938,2818,3483,3837,2995,4323,2779,1887,2893,2024,1976,2840,3994,2872
Fam161b|Fam161b,359,38,27,53,99,32,118,96,114,54,69,78,142,0,148,12,52,40,46,19,14,112,47
Coq6|Coq6,579,680,783,816,364,671,778,618,499,636,542,812,481,987,982,587,518,842,443,879,855,1251,483
Entpd5|Entpd5,1634,1869,1360,1494,1780,1459,1343,755,557,1241,954,2096,1247,1880,3697,1191,760,1465,939,871,985,1254,1141
Bbof1|Bbof1,55,0,0,18,0,89,0,110,0,0,2,0,0,0,87,11,8,18,2,0,26,0,0
Aldh6a1|Aldh6a1,8652,10740,8073,7225,8824,9527,9383,6472,5182,8891,6519,7590,7700,7797,12915,7393,4446,6346,4839,6409,5926,7870,7703
Rnf113a2|Rnf113a2,499,1470,859,854,953,1002,1322,934,844,923,637,1373,1606,991,1021,1047,549,802,636,1108,948,651,1151
Ltbp2|Ltbp2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
